175;145;6;30/10/2011;30/06/2013;;30/10/2011;;31/12/2013;"4";TRUE;FALSE;FALSE;
176;148;4;30/07/2009;30/10/2013;;30/07/2009;;;"1";TRUE;FALSE;FALSE;
177;148;1;30/05/2011;31/12/2013;;30/05/2011;;;"2";TRUE;FALSE;FALSE;
178;1;4;30/11/2009;31/05/2010;;30/11/2009;31/05/2010;;"5";TRUE;FALSE;FALSE;
179;1;9;30/01/2010;19/12/2012;;30/12/2010;31/12/2012;;"6";TRUE;FALSE;FALSE;
180;1;10;30/01/2010;20/12/2012;;30/12/2010;31/12/2012;;"7";TRUE;FALSE;FALSE;
181;5;3;28/02/2009;31/12/2009;;28/02/2009;31/12/2009;;"1";TRUE;FALSE;FALSE;
182;43;4;30/03/2012;30/06/2012;;30/03/2012;;;"2";TRUE;FALSE;FALSE;
183;46;3;30/09/2009;30/07/2011;;30/09/2009;30/07/2011;;"3";TRUE;FALSE;FALSE;
184;147;1;30/07/2010;30/12/2013;;30/07/2010;;;"2";TRUE;FALSE;FALSE;
185;49;3;30/11/2010;30/06/2011;;30/11/2010;30/06/2011;;"1";TRUE;FALSE;FALSE;
186;181;1;01/08/2010;31/12/2012;;01/08/2010;20/04/2013;31/03/2013;"1";TRUE;FALSE;FALSE;
188;179;1;29/11/2011;28/02/2013;;29/11/2011;;31/01/2014;"1";TRUE;FALSE;FALSE;
189;184;1;01/03/2009;30/06/2012;;01/03/2009;01/11/2012;;"1";TRUE;FALSE;FALSE;
190;182;1;01/11/2009;30/04/2012;;01/11/2009;26/09/2012;26/09/2012;"1";TRUE;FALSE;FALSE;
191;185;1;01/05/2010;31/08/2012;;01/05/2010;30/10/2012;30/09/2012;"1";TRUE;FALSE;FALSE;
192;186;3;30/08/2011;30/05/2012;;30/08/2011;30/05/2012;;"1";TRUE;FALSE;FALSE;
193;186;1;30/09/2012;30/11/2013;;;;31/05/2014;"2";TRUE;FALSE;FALSE;
202;26;4;30/09/2011;30/06/2012;;30/09/2011;31/07/2013;;"2";TRUE;FALSE;FALSE;
209;194;3;28/02/2009;30/11/2011;;28/02/2009;30/11/2011;;"1";TRUE;FALSE;FALSE;
210;194;1;30/04/2011;30/07/2012;;30/04/2011;30/11/2012;;"2";TRUE;FALSE;FALSE;
211;195;10;30/07/2011;28/02/2012;;30/07/2011;28/02/2012;;"2";TRUE;FALSE;FALSE;
